nhood,Coding,Population,Married,Divorced,Widowed,Persons_with_a_migration_background,Non_Western,Morocco,Netherlands_Antilles_and_Aruba,Suriname,Turkey,Othernon-Western,Householdincome,Crime,"Vandalism,crimeagainstpublicorder",Violentandsexualcrimes,PostalCode,cafe_Within_1_km,cafe_Within_3_km,cafe_Within_5_km,distance_to_Cafeterias_km,cafeterias_Within_1_km,cafeterias_Within_3_km,cafeterias_Within_5_km,distance_to_Restaurants,restaurants_Within_1_km,restaurants_Within_3_km,restaurants_Within_5_km,hotels_Within_5_km,hotels_Within_10_5km,hotels_Within_20km,Distance_to_main_road_entrance,Distance_to_train_station,Distance_to_important_transfer_station
Gibraltararea,BU03633705,2945,810,410,75,655,1785,680,60,215,275,555,23.8,3,4,8,1055,8.10,162.70,596.50,0.20,20.60,234.00,782.00,0.20,21.30,413.40,1467.00,326.90,439.80,521.20,0.70,2.00,2.00
LandlustNorth,BU03633706,1560,535,170,50,320,1145,490,40,145,225,250,24.9,3,6,6,1055,11.90,206.20,626.50,0.20,29.70,293.50,835.50,0.20,29.40,558.00,1566.00,354.90,441.10,521.30,1.10,2.40,2.40
ErasmusPark,WK036338,4215,1155,365,110,1090,1735,575,55,155,470,485,28.8,3,2,5,.,20.40,178.90,618.50,0.20,32.80,254.00,835.30,0.20,35.00,478.50,1546.00,347.40,441.90,520.40,0.60,2.50,2.50
ErasmusParkneighborhoodWest,BU03633802,2920,795,255,75,795,1125,345,40,100,295,345,29.4,3,2,6,1055,17.10,176.80,616.80,0.20,30.30,250.10,825.90,0.20,32.60,466.40,1536.00,345.30,442.00,520.40,0.60,2.40,2.40
RobertScottbuurtOost,BU03633803,1295,355,110,35,290,615,235,10,55,180,140,27.4,3,2,3,1056,28.10,183.40,622.50,0.20,38.40,262.80,856.80,0.10,40.70,506.30,1569.00,352.10,441.80,520.40,0.50,2.60,2.60
TheKolenkit,WK036339,6590,2565,680,240,1280,6030,2745,115,540,1565,1065,22.7,4,4,7,.,6.50,106.80,507.20,0.30,13.50,163.50,700.20,0.30,15.00,237.30,1261.00,279.20,441.10,519.70,0.40,2.40,2.40
RobertScottbuurtWest,BU03633900,1455,395,160,95,340,905,300,25,105,210,260,22.5,2,9,15,1055,13.80,143.90,596.80,0.40,20.90,206.50,801.10,0.20,22.30,362.20,1476.00,322.50,441.50,520.00,0.50,2.50,2.60
AvenueofSpartaan,BU03633901,1530,420,115,35,410,930,355,40,130,150,255,23.5,3,1,7,1061,5.60,107.30,515.60,0.30,6.00,168.10,711.90,0.30,5.70,247.20,1272.00,284.20,440.90,519.30,0.40,2.60,2.90
KolenkitbuurtZuid,BU03633902,1365,605,115,55,250,1225,570,15,115,360,165,24.6,7,1,4,1061,4.10,92.40,453.80,0.50,14.30,144.50,646.60,0.40,12.70,185.10,1152.00,256.00,441.20,519.60,0.40,2.30,2.30
KolenkitbuurtNoord,BU03633903,2240,1140,285,50,285,2970,1520,30,190,845,385,20.9,3,3,5,1061,4.60,95.70,486.80,0.20,13.60,149.80,672.40,0.30,17.60,197.70,1206.00,267.50,441.00,519.80,0.50,2.20,2.20
Geuzenbuurt,WK036340,5120,1245,410,125,1500,1395,340,50,215,210,580,29.6,3,3,6,.,41.10,371.20,659.40,0.20,48.00,489.10,900.70,0.20,63.20,928.80,1707.00,372.60,440.70,521.30,1.50,3.10,3.20
Geuzenhofneighborhood,BU03634000,1350,205,100,25,430,200,30,10,35,20,105,32.1,4,2,4,1056,31.00,386.40,658.90,0.30,37.00,501.10,898.30,0.30,55.20,951.10,1707.00,373.00,440.90,521.70,1.90,3.20,3.20
Trompbuurt,BU03634001,2420,620,180,65,690,605,145,20,95,110,235,28.8,3,2,3,1056,42.70,393.70,661.10,0.10,52.50,518.20,903.70,0.10,69.30,974.40,1712.00,373.20,440.80,521.60,1.50,3.10,3.10
PietervanderDoesbuurt,BU03634002,1350,410,135,30,380,590,170,15,85,80,240,28.4,4,5,12,1056,47.50,319.50,657.00,0.10,50.30,429.10,897.80,0.20,60.00,831.30,1699.00,371.00,440.40,520.50,1.20,3.10,3.20
VanGalenbuurt,WK036341,5100,1125,800,115,1065,3365,995,160,670,560,970,24.9,3,4,7,.,34.30,220.20,634.80,0.20,40.90,303.80,879.10,0.20,43.00,590.60,1619.00,359.00,441.30,520.70,0.60,2.60,2.90
JohnFranklinneighborhood,BU03634100,1410,310,175,30,360,660,200,25,85,130,220,24.6,7,9,7,1056,43.90,277.30,651.20,0.10,47.70,370.40,895.70,0.10,50.90,737.60,1683.00,370.20,440.40,520.90,0.90,3.00,3.20
JanMaijenbuurt,BU03634101,1565,445,205,35,345,1020,320,30,170,260,250,24.4,3,2,8,1056,39.20,235.40,643.10,0.10,48.00,320.10,891.90,0.10,49.10,636.70,1648.00,365.30,440.70,521.00,0.70,2.80,3.00
OrteliusbuurtNoord,BU03634102,955,270,135,35,210,505,155,15,85,105,150,26.3,1,1,4,1056,33.50,198.10,634.90,0.10,41.60,280.80,885.30,0.10,43.80,549.70,1616.00,360.90,440.80,521.00,0.50,2.60,2.90
MercatorPark,BU03634103,1170,100,285,5,150,1170,325,95,335,75,350,.,0,3,9,1056,20.00,164.00,610.00,0.30,26.00,238.00,845.00,0.30,28.00,427.00,1529.00,340.00,443.00,520.00,0.10,2.30,2.70
Mainroadetc,WK036342,7205,2025,950,235,1815,3790,1205,115,530,825,1115,28.7,3,3,7,.,40.00,247.80,650.10,0.10,46.40,336.20,912.80,0.20,55.40,685.40,1700.00,370.30,441.40,521.10,1.20,2.40,3.50
Balboapleinandsurroundingareas,BU03634200,2200,570,285,60,495,1290,375,35,165,365,355,27.6,3,3,12,1057,44.10,260.40,648.80,0.10,48.80,345.50,904.60,0.10,52.40,701.10,1688.00,369.70,441.20,520.40,1.10,2.60,3.40
Columbuspleinandsurroundingareas,BU03634201,2320,795,320,60,515,1500,545,40,190,290,430,30.8,3,4,6,1057,42.10,268.60,657.10,0.10,51.10,365.40,925.30,0.30,70.20,745.90,1731.00,374.10,441.30,521.40,1.40,2.30,3.70
OrteliusbuurtMidden,BU03634202,1385,355,175,25,415,515,165,25,80,85,165,27.9,4,4,6,1057,35.20,203.00,640.00,0.20,39.90,285.20,896.00,0.10,41.90,573.50,1649.00,363.40,441.50,521.00,0.90,2.30,3.20
OrteliusbuurtZuid,BU03634203,1295,305,170,90,385,490,120,25,95,90,165,27.6,5,3,5,1057,34.20,234.40,649.50,0.10,40.30,318.70,920.00,0.20,46.80,661.80,1714.00,371.10,442.00,521.70,1.20,2.00,3.60
WestIndianNeighborhood,WK036343,5090,1270,475,115,1485,1340,270,65,210,225,570,30.2,2,12,3,.,22.50,229.90,655.80,0.30,23.00,313.70,940.80,0.20,58.70,661.20,1747.00,377.90,440.60,521.80,1.10,1.80,3.30
Paramaribopleinandsurroundingareas,BU03634300,2870,695,240,65,870,795,185,45,100,130,335,30.6,1,15,3,1058,24.50,239.90,657.90,0.20,25.50,327.20,943.90,0.20,63.60,683.20,1754.00,379.00,440.80,521.90,1.20,1.80,3.30
Postjeskadeandsurroundings,BU03634301,2220,575,235,50,615,545,85,25,110,90,240,29.7,3,8,3,1058,20.00,217.00,653.10,0.40,19.90,296.20,936.80,0.30,52.40,632.80,1738.00,376.60,440.30,521.80,1.00,1.60,3.30
Hoofddorppleinbuurt,WK036344,8550,2255,815,220,2690,1590,225,80,295,135,845,33.8,3,3,4,.,15.10,125.90,556.00,0.20,23.70,214.00,820.60,0.10,64.70,448.50,1546.00,316.30,441.50,520.40,0.90,1.90,2.90
Surinamepleinbuurt,BU03634400,1095,330,95,25,330,150,15,10,25,10,90,35.6,5,5,2,1058,21.40,196.30,654.70,0.30,23.20,281.50,940.00,0.10,83.30,610.70,1750.00,377.10,441.30,521.00,0.80,1.40,3.10
Westlandgrachtneighborhood,BU03634401,2565,705,255,75,760,505,70,25,110,65,240,33,2,3,3,1058,15.00,128.60,574.20,0.20,23.70,216.70,847.60,0.10,63.50,456.30,1581.00,327.90,440.90,520.80,1.00,1.70,2.90
AalsmeerwegbuurtWest,BU03634402,1905,430,165,40,590,370,45,15,60,20,230,34,1,2,4,1059,12.20,93.50,484.50,0.20,23.50,179.40,735.10,0.10,53.50,360.20,1411.00,275.20,441.80,520.30,0.80,2.00,2.90
AalsmeerwegbuurtEast,BU03634403,1560,430,170,35,495,325,70,15,65,25,145,34.3,4,4,5,1059,13.10,99.40,514.70,0.10,24.30,191.90,766.40,0.20,60.10,391.20,1461.00,288.10,442.70,520.00,0.70,2.20,2.80
Legmeerpleinbuurt,BU03634404,1220,325,120,40,380,210,25,10,40,10,120,33.4,2,1,5,1058,18.50,152.40,627.80,0.10,27.00,247.40,905.60,0.10,82.40,529.50,1685.00,355.80,442.00,520.40,1.10,1.80,2.70
Schinkelbusinesspark,BU03634405,210,35,15,5,135,20,0,0,5,0,15,31.4,8,26,15,1059,2.50,37.80,297.00,0.40,4.10,81.10,475.50,0.30,4.60,194.10,984.60,178.50,433.90,518.20,0.80,2.90,3.60
Schinkelbuurt,WK036345,2810,625,320,65,900,695,95,25,180,75,325,32.1,3,5,10,.,17.80,170.20,636.60,0.10,32.10,283.90,901.80,0.10,92.60,608.20,1706.00,362.20,445.40,520.70,1.30,2.10,2.30
SchinkelbuurtNoord,BU03634500,1760,390,175,35,575,320,45,15,60,30,165,35.1,4,4,7,1075,18.80,185.00,650.50,0.10,31.30,294.30,921.30,0.10,94.90,636.60,1737.00,373.40,445.20,520.80,1.30,2.10,2.40
SchinkelbuurtZuid,BU03634501,1055,230,150,35,320,375,50,10,120,35,155,27.4,1,7,15,1075,16.20,146.80,614.40,0.10,33.40,267.30,871.00,0.10,89.10,563.10,1658.00,344.50,445.90,520.60,1.30,2.20,2.20
Willemspark,WK036346,3265,1765,365,110,1675,640,50,20,75,65,425,75,4,4,3,.,11.00,233.00,666.30,0.20,26.30,360.70,941.30,0.10,80.70,807.90,1788.00,384.20,445.60,519.20,1.70,2.10,2.20
ValeriusbuurtEast,BU03634600,750,480,100,30,475,120,5,5,20,10,90,83.2,7,2,4,1075,5.70,275.70,679.50,0.30,18.30,399.50,958.60,0.10,59.60,927.70,1830.00,388.20,445.70,517.70,2.00,2.30,2.30
ValeriusbuurtWest,BU03634601,1550,795,165,55,735,365,40,15,40,45,230,51.5,3,4,2,1075,12.40,211.40,661.50,0.10,30.60,340.60,930.10,0.10,88.30,758.10,1770.00,381.80,445.60,519.80,1.60,2.00,2.00
WillemsparkbuurtNoord,BU03634602,965,490,100,30,470,145,5,5,25,10,105,105.2,4,6,3,1075,13.40,230.10,662.20,0.20,26.50,358.90,944.30,0.10,87.50,781.80,1779.00,384.70,445.60,519.70,1.60,2.20,2.40
VondelparkWest,BU03634603,0,0,0,0,0,0,0,0,0,0,0,.,,,,1075,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MuseumQuarter,WK036347,7130,4210,870,415,3785,1195,35,90,160,85,825,62.2,4,5,9,.,19.60,425.40,695.10,0.20,48.70,584.50,993.80,0.10,113.80,1217.00,1888.00,392.10,445.70,516.10,2.50,2.20,2.20
JohannnesVermeerbuurt,BU03634700,790,530,95,55,465,175,5,25,20,10,115,62.2,3,3,10,1071,33.80,478.70,696.40,0.20,82.20,639.90,1001.00,0.20,160.30,1298.00,1894.00,391.80,444.70,515.30,2.50,2.30,2.30
PCHooftbuurt,BU03634701,465,240,50,15,315,80,5,5,5,15,60,67.2,5,9,25,1071,55.40,594.20,699.90,0.20,67.50,749.00,1000.00,0.10,206.80,1509.00,1905.00,390.90,444.10,518.70,2.90,2.70,2.70
Concertgebouwarea,BU03634702,1070,625,120,40,555,160,5,10,25,10,115,67.9,3,4,4,1071,8.30,495.50,697.50,0.20,30.10,655.00,991.50,0.10,99.60,1313.00,1890.00,391.10,444.90,517.50,2.80,2.40,2.40
CornelisSchuytbuurt,BU03634703,1610,1065,175,70,975,245,0,15,35,15,180,89.4,5,4,3,1071,2.20,365.90,690.30,0.20,17.90,509.10,980.40,0.10,50.10,1102.00,1869.00,390.50,446.40,517.20,2.40,2.30,2.30
Banpleinbuurt,BU03634704,385,320,60,50,210,60,5,0,15,0,35,92.8,1,6,6,1071,5.20,326.00,690.60,0.30,22.90,478.20,986.50,0.30,65.90,1075.00,1879.00,392.20,447.50,516.40,2.40,2.00,2.00
Hondecoeterbuurt,BU03634705,1210,630,125,65,610,200,5,15,20,15,150,53.6,3,4,5,1071,17.30,387.00,697.40,0.30,46.90,546.90,998.80,0.10,108.50,1162.00,1896.00,394.30,446.00,516.10,2.50,1.90,1.90
Harmoniehofneighborhood,BU03634706,590,525,155,105,245,95,5,5,25,0,60,31.4,3,2,3,1071,29.20,381.60,695.30,0.20,70.20,554.50,1000.00,0.20,141.70,1170.00,1891.00,392.90,446.30,512.90,2.10,1.90,1.90
Museumplein,BU03634707,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,1071,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
VondelparkEast,BU03634708,0,0,0,0,0,0,0,0,0,0,0,.,,,,1071,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Devil'sIsland,BU03634709,1010,285,80,25,405,185,10,15,25,20,120,38.2,6,1,5,1071,36.70,457.40,697.20,0.10,86.50,637.90,1004.00,0.00,167.80,1283.00,1896.00,393.80,445.20,514.30,2.20,2.10,2.10
Stadiumarea,WK036348,7640,2585,1220,350,2485,2640,550,155,565,280,1095,32.6,2,2,6,.,6.70,107.80,536.40,0.20,22.00,228.90,781.50,0.20,51.60,501.00,1509.00,313.90,443.70,518.00,1.00,1.60,1.60
Bertelmanpleinneighborhood,BU03634800,670,235,140,40,170,330,105,20,75,50,80,24.2,3,2,3,1075,12.30,172.60,633.90,0.20,32.80,305.30,890.10,0.10,84.10,662.70,1707.00,366.10,445.30,519.90,1.30,1.80,1.80
MarathonareaEast,BU03634801,930,310,190,50,265,355,70,15,85,35,150,35,4,1,6,1076,8.40,154.00,633.20,0.10,26.40,283.90,881.70,0.20,63.00,642.60,1705.00,368.60,444.80,518.50,1.30,1.50,1.50
MarathonareaWest,BU03634802,1580,425,340,65,415,790,195,40,205,75,280,24.1,1,3,8,1076,8.10,112.30,578.20,0.20,25.60,248.80,830.00,0.10,62.30,540.40,1591.00,335.20,444.40,518.60,1.10,1.60,1.60
OlympicStadiumandsurroundingareas,BU03634803,1365,630,195,75,625,525,110,35,110,45,230,43.6,1,3,5,1076,7.30,83.40,478.30,0.20,20.00,180.90,722.50,0.20,54.20,395.50,1398.00,279.40,443.40,517.40,0.90,2.00,2.00
Icerinkpathetc,BU03634804,255,115,25,15,65,15,0,5,5,0,5,36.8,2,0,15,1076,1.00,28.20,250.20,1.00,1.20,80.40,426.00,1.00,0.70,170.90,934.10,169.10,437.10,509.40,0.90,2.20,2.20
VanTuyllbuurt,BU03634805,2835,875,335,110,945,625,70,45,95,75,345,34,2,1,5,1076,4.10,93.50,512.30,0.20,18.60,218.90,756.20,0.10,36.30,476.60,1457.00,301.70,443.20,518.00,0.90,1.30,1.30
Apollobuurt,WK036349,4605,3160,580,300,2625,855,20,50,90,90,605,65.6,4,2,3,.,3.90,195.90,665.30,0.30,19.30,333.30,936.50,0.30,37.30,793.30,1797.00,382.60,447.40,515.30,1.70,1.30,1.30
Diepenbrockbuurt,BU03634900,425,325,35,25,190,80,0,0,15,10,50,98.7,11,3,6,1077,3.20,205.40,673.50,0.40,17.90,336.20,948.80,0.30,37.10,806.50,1815.00,386.00,448.20,509.30,1.60,1.30,1.40
Beethovenarea,BU03634901,605,470,85,65,380,130,0,10,15,10,90,71.3,7,2,7,1077,8.60,262.00,685.30,0.20,22.90,409.50,976.70,0.20,50.80,956.80,1863.00,389.60,448.30,512.20,1.90,1.40,1.40
Hiltonarea,BU03634902,45,30,10,5,10,5,0,0,0,0,5,.,12,24,0,1077,5.00,238.70,681.00,0.40,20.70,382.60,964.20,0.40,53.00,891.40,1844.00,388.60,447.50,516.90,2.00,1.70,1.70
MinervabuurtNoord,BU03634903,760,550,85,40,455,135,5,5,15,15,100,66.7,1,2,1,1077,3.90,225.50,679.20,0.30,19.90,367.40,959.40,0.30,46.40,867.70,1836.00,387.70,447.50,516.50,2.00,1.50,1.50
MinervabuurtMidden,BU03634904,1305,885,175,85,815,245,5,20,20,25,175,59.7,1,2,2,1077,2.70,192.00,671.00,0.30,18.00,325.40,939.60,0.30,33.50,789.00,1805.00,385.20,447.60,516.70,1.80,1.30,1.30
MinervabuurtZuid,BU03634905,1470,910,190,85,770,265,5,15,25,30,185,49.9,4,2,3,1077,2.90,149.10,640.70,0.20,18.80,284.90,898.70,0.20,29.20,675.60,1732.00,373.20,446.60,516.60,1.50,1.10,1.10
IJburgEast,WK036350,0,0,0,0,0,0,0,0,0,0,0,.,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BeachIsland,BU03635000,0,0,0,0,0,0,0,0,0,0,0,.,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
CentralIslandSoutheast,BU03635001,0,0,0,0,0,0,0,0,0,0,0,.,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
CentralIslandSouthwest,BU03635003,0,0,0,0,0,0,0,0,0,0,0,.,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
OuterIsland,BU03635005,0,0,0,0,0,0,0,0,0,0,0,.,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
CenterIsland,BU03635006,0,0,0,0,0,0,0,0,0,0,0,.,,,,1087,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
IJburgSouth,WK036351,5365,2195,480,65,1290,3035,840,115,685,360,1040,34.7,4,2,8,.,0.00,0.00,0.00,0.50,3.80,8.20,10.60,0.40,10.50,22.60,25.30,1.00,239.50,476.80,2.70,6.00,8.90
RieteilandOost,BU03635100,170,90,5,0,40,35,0,5,0,5,25,.,0,4,4,1087,0.00,0.00,0.00,1.20,0.00,7.00,9.30,1.20,0.10,21.80,24.10,1.00,154.50,469.70,3.30,6.50,9.50
HaveneilandOost,BU03635101,4005,1650,320,40,970,2050,580,80,425,230,735,35.3,3,2,5,1087,0.00,0.00,0.00,0.50,3.80,8.30,10.80,0.50,9.70,22.50,25.20,1.00,236.20,476.90,2.70,5.90,8.90
HaveneilandNoord,BU03635102,1190,450,145,30,285,945,260,25,260,125,275,28.6,8,3,18,1087,0.00,0.00,0.00,0.20,4.80,8.20,10.20,0.10,15.10,23.00,25.80,1.00,266.50,477.50,2.70,6.20,8.60
Scheldebuurt,WK036352,10130,3340,1175,480,3180,1755,270,115,335,135,905,36,2,3,4,.,10.70,185.20,629.70,0.20,24.80,308.80,889.70,0.20,62.20,675.90,1730.00,376.70,444.90,502.00,1.10,1.20,2.60
Wielingenbuurt,BU03635200,2000,775,215,65,675,295,20,20,45,25,180,40.4,2,1,2,1078,12.00,238.30,665.80,0.20,29.00,372.40,940.10,0.20,72.00,837.20,1799.00,384.50,445.40,503.60,1.10,1.30,2.00
ScheldebuurtWest,BU03635201,2950,945,375,140,920,520,80,25,100,45,265,35.6,3,2,3,1078,11.20,197.50,643.80,0.20,26.90,329.40,908.30,0.20,68.80,723.70,1759.00,381.40,445.60,502.10,0.90,1.10,2.50
ScheldebuurtMidden,BU03635202,2180,740,215,70,660,310,50,25,55,20,160,34.4,3,2,3,1078,12.00,189.80,631.60,0.20,28.30,305.30,886.70,0.20,71.30,680.70,1734.00,378.70,444.50,501.10,1.10,1.30,2.80
ScheldebuurtEast,BU03635203,1645,500,175,60,535,295,45,20,50,25,160,35.7,0,3,5,1079,12.80,181.10,615.80,0.20,25.70,283.70,869.50,0.20,57.40,615.00,1707.00,374.60,444.80,501.00,1.30,1.40,3.10
Veluwearea,BU03635206,945,245,175,135,240,265,55,20,75,15,105,27.7,3,3,8,1079,4.40,86.10,567.40,0.30,10.00,214.80,815.20,0.30,30.50,420.90,1602.00,358.20,443.40,501.70,0.90,1.00,2.80
KopZuidas,BU03635207,410,130,20,5,150,75,10,5,10,5,45,49.9,5,14,27,1079,1.40,75.70,550.40,0.40,4.70,199.20,788.70,0.20,18.30,391.00,1565.00,349.50,444.00,501.60,0.70,0.80,2.60
IJselbuurt,WK036353,3775,975,510,130,1070,1110,280,70,240,120,405,27.2,1,4,5,.,18.40,227.70,634.80,0.20,33.60,344.60,901.70,0.30,68.70,740.40,1755.00,376.50,443.30,501.40,1.70,1.30,3.10
IJselbuurtWest,BU03635300,1710,405,250,60,475,465,90,35,105,40,195,27,2,5,4,1078,21.30,235.30,643.90,0.20,38.50,351.50,907.30,0.20,83.70,770.40,1763.00,379.60,444.00,501.20,1.50,1.50,2.90
IJselbuurtEast,BU03635301,2065,575,260,70,595,645,190,35,135,75,205,27.3,1,3,6,1078,16.10,221.50,627.30,0.20,29.60,338.90,897.20,0.30,56.30,715.70,1750.00,374.00,442.70,501.60,1.80,1.10,3.40
Rijnbuurt,WK036354,6410,1575,925,250,1705,1750,375,105,365,135,770,29.7,3,3,3,.,8.00,125.80,574.00,0.30,17.30,231.70,834.60,0.30,33.70,487.30,1617.00,362.40,443.70,500.90,1.30,1.30,3.40
KrommeMijdrechtbuurt,BU03635400,1765,410,255,65,460,530,115,30,95,50,240,26.8,2,2,6,1079,10.20,161.30,596.60,0.20,20.50,262.00,861.70,0.10,36.80,549.80,1678.00,367.70,443.10,500.90,1.60,1.10,3.50
RijnbuurtOost,BU03635401,1980,475,230,65,505,385,65,35,80,35,175,35,3,2,1,1079,7.00,114.30,551.30,0.20,14.00,214.30,812.80,0.20,22.20,445.90,1550.00,356.60,443.40,500.60,1.30,1.40,3.70
RijnbuurtMidden,BU03635402,1550,405,170,55,440,280,55,15,65,15,130,30.3,2,5,3,1079,8.10,115.50,570.10,0.30,16.50,217.10,829.60,0.30,31.20,467.60,1613.00,362.30,444.40,500.90,1.20,1.40,3.30
RhinebuurtWest,BU03635403,1085,275,260,60,290,555,150,25,125,30,225,24.1,3,2,4,1079,6.60,108.10,589.60,0.40,19.00,238.20,845.80,0.50,51.00,495.80,1658.00,367.50,444.30,501.30,1.00,1.10,3.00
Zorgvlied,BU03635404,20,15,10,0,10,0,0,0,0,0,0,.,.,.,.,1079,0.10,34.10,287.00,0.80,2.60,81.00,482.00,0.60,1.10,172.20,996.80,233.20,438.50,499.10,1.80,1.90,3.70
Frankendael,WK036355,7150,2345,930,375,1875,2745,715,125,615,220,1070,26.4,5,4,8,.,2.70,97.20,489.00,0.30,10.50,180.30,715.20,0.30,17.20,339.80,1298.00,308.60,437.50,497.60,2.30,1.00,4.50
TheUnicorn,BU03635501,2110,190,120,5,590,675,120,35,135,45,340,20.2,1,3,12,1097,3.60,159.20,564.90,0.20,15.90,268.90,842.30,0.20,24.30,515.90,1557.00,362.70,441.00,500.80,2.30,0.70,4.00
JulianaPark,BU03635502,485,210,55,20,160,120,0,0,30,30,55,36.8,4,13,19,1097,0.30,77.70,486.80,0.50,5.40,160.70,722.70,0.50,6.20,301.20,1296.00,325.00,438.60,498.00,2.60,0.90,4.60
DonBosco,BU03635503,1395,590,125,45,365,410,150,20,65,20,155,33.6,3,3,5,1097,8.30,101.50,519.70,0.30,19.10,182.10,752.60,0.20,42.70,346.70,1360.00,348.40,439.40,497.60,2.40,1.10,4.20
Frankendael,BU03635504,5,5,0,0,0,0,0,0,0,0,0,.,.,.,.,1097,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
GardenvillageAmstelstation,BU03635505,460,195,135,45,95,335,85,15,80,35,110,19.7,10,5,7,1097,0.00,59.10,449.60,0.50,1.50,126.90,650.00,0.10,1.70,233.80,1163.00,285.20,435.50,495.80,2.80,1.20,4.90
TheWetbuurt,BU03635506,1045,505,170,135,255,305,65,10,75,30,120,29,6,2,3,1097,0.00,57.60,439.50,0.30,1.30,122.60,631.30,0.40,1.40,228.10,1136.00,270.30,434.50,495.40,2.40,1.20,5.00
GardenvillageFrankendael,BU03635507,1290,530,270,110,345,570,150,25,155,45,190,25.8,5,2,7,1097,0.90,67.70,414.50,0.40,8.90,135.50,597.10,0.40,8.30,241.80,1070.00,234.00,433.60,495.40,1.70,1.30,5.00
VanderKunbuurt,BU03635508,370,125,55,10,65,325,130,10,70,20,95,21.2,7,0,7,1097,2.90,142.60,569.80,0.30,14.00,258.20,854.40,0.40,23.30,510.50,1589.00,364.10,441.50,501.40,2.20,0.70,4.00
Middenmeer,WK036356,10195,3985,895,380,3265,2070,330,115,395,155,1065,32,3,4,4,.,2.80,59.00,383.60,0.40,11.90,122.00,555.50,0.30,19.20,211.30,989.00,221.20,432.20,491.50,1.90,1.00,4.70
Linnaeusparkneighborhood,BU03635600,1665,695,165,50,495,255,25,15,40,25,150,38.4,2,5,5,1098,6.30,86.00,499.70,0.20,20.10,165.20,715.10,0.10,38.30,296.80,1273.00,328.60,437.50,496.20,2.20,1.10,4.20
MiddenmeerNoord,BU03635601,1820,945,160,70,445,345,100,15,65,25,140,33.8,2,5,2,1098,4.00,70.90,484.90,0.40,18.90,144.70,683.20,0.20,31.70,254.30,1213.00,295.30,435.70,493.30,2.30,0.90,4.20
MiddenmeerSouth,BU03635602,3285,1355,350,165,955,570,85,45,110,25,300,34.1,2,3,3,1098,1.30,57.50,383.10,0.20,10.50,122.50,555.30,0.30,15.00,209.90,983.40,202.50,432.80,492.70,1.80,0.80,4.80
MiddenmeerSouthSportsPark,BU03635603,115,115,30,45,40,10,0,0,5,0,5,35.2,3,0,10,1098,0.20,47.60,277.80,0.40,7.10,101.80,425.00,0.40,6.50,175.00,771.50,141.60,425.90,492.20,1.50,0.80,5.20
MiddenmeerNoordsportspark,BU03635604,0,0,0,0,0,0,0,0,0,0,0,.,,,,1098,0.00,43.00,258.90,0.80,7.00,91.00,369.00,0.40,5.00,152.00,687.90,128.00,429.00,485.00,2.00,0.30,5.10
ParkdeMeer,BU03635605,880,605,120,40,255,405,95,20,100,40,155,36.5,3,1,2,1098,2.40,18.40,120.90,0.90,3.10,48.70,247.60,0.90,3.30,94.60,432.20,69.60,420.20,490.10,0.60,1.80,5.90
SportsparkVoorland,BU03635606,0,0,0,0,0,0,0,0,0,0,0,.,,,,1098,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ScienceParkNorth,BU03635607,2400,270,60,10,1060,485,30,20,75,45,310,19.9,5,2,4,1098,1.80,52.80,372.10,0.70,6.10,110.10,516.50,0.30,8.60,176.10,933.90,196.00,432.30,485.40,2.20,0.60,4.60
ScienceParkSouth,BU03635608,20,5,5,0,15,5,0,0,0,0,0,.,.,.,.,1098,0.00,21.90,78.40,1.80,0.00,47.10,163.60,1.00,1.80,69.60,291.90,47.80,413.10,478.60,2.20,1.20,5.80
Concretevillage,WK036357,1770,805,500,180,405,840,210,25,220,55,335,23.1,8,4,6,.,2.30,19.80,135.80,0.30,3.00,66.50,278.80,1.00,1.90,101.10,493.20,79.40,420.80,492.20,0.80,1.90,6.00
Concretevillage,BU03635700,1765,805,500,180,405,840,210,25,225,55,335,23,8,4,6,1097,2.30,19.80,135.50,0.30,3.00,66.40,278.50,1.00,1.90,100.90,492.40,79.30,420.70,492.20,0.80,1.90,6.00
NewEasternCemetery,BU03635701,0,5,5,5,0,5,0,0,0,0,5,.,.,.,.,1097,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Drieburg,BU03635702,0,0,0,0,0,0,0,0,0,0,0,.,,,,1097,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Omval/Overamstel,WK036358,3775,600,190,35,845,1130,60,120,170,70,705,25.5,5,5,15,.,0.60,41.20,326.70,0.60,3.10,91.00,506.60,0.40,4.40,173.90,932.40,204.50,432.00,495.50,1.40,1.80,5.00
