zipcode,near_ATTRAC,near_museum,near_Performing_arts
1682,6.0,8.0,8.4
1683,7.9,6.3,8.6
1684,7.1,7.4,9.2
1685,2.0,5.2,5.4
1686,1.9,5.0,5.2
1687,2.9,6.1,3.7
1688,4.4,7.6,6.6
1689,2.5,3.9,3.7
1691,7.2,7.9,8.5
1692,6.8,6.2,7.0
1693,6.6,3.2,6.6
1695,3.2,3.5,3.1
1696,5.5,5.8,5.4
1697,5.8,5.5,6.1
1701,3.3,4.7,2.6
1702,2.4,3.8,1.6
1703,1.6,3.7,1.3
1704,3.3,4.2,3.7
1705,3.0,5.5,2.9
1706,4.3,5.8,3.3
1711,1.5,7.8,6.3
1713,3.7,8.5,6.4
1715,7.6,8.4,2.6
1716,8.1,7.5,3.6
1718,9.5,6.5,5.0
1719,11.2,6.4,8.1
1721,3.2,1.0,3.6
1722,3.9,1.9,4.9
1723,3.6,2.8,5.8
1724,4.0,4.2,7.2
1731,10.7,3.5,11.3
1732,10.2,5.8,13.8
1733,10.3,1.9,10.5
1734,8.1,2.9,8.3
1735,7.3,3.3,11.4
1736,5.7,4.5,11.2
1738,5.2,5.1,9.6
1741,7.8,1.3,16.5
1742,7.1,1.4,15.8
1744,3.7,5.2,14.2
1746,2.1,5.1,11.1
1747,1.5,7.7,10.9
1749,2.5,8.6,9.9
1751,6.3,1.1,18.4
1752,3.1,4.2,17.2
1753,1.5,5.9,18.5
1754,3.9,8.3,15.0
1755,4.3,10.7,17.4
1756,8.3,6.4,15.2
1757,7.1,5.6,17.7
1759,7.8,8.8,15.4
1761,3.7,10.1,13.9
1764,7.2,9.2,10.3
1766,6.3,9.2,18.4
1767,12.7,8.0,16.2
1768,11.3,5.3,17.2
1769,8.7,3.9,15.6
1771,12.7,12.1,13.2
1773,9.8,9.2,10.3
1774,13.7,14.8,16.0
1775,10.4,10.3,11.1
1777,13.1,18.3,19.4
1778,10.3,15.5,16.6
1779,18.2,21.7,22.8
1781,1.0,0.7,0.7
1782,1.5,1.3,0.9
1783,3.4,2.6,3.1
1784,3.6,2.0,3.2
1785,3.5,2.6,3.1
1786,5.6,3.5,5.2
1787,8.7,5.6,8.5
1788,9.5,6.1,9.1
1789,3.3,3.1,2.5
1791,13.1,0.9,13.4
1792,13.3,0.6,13.6
1793,16.2,0.9,16.4
1794,19.9,4.5,20.1
1795,24.8,4.1,25.1
1796,18.2,2.6,18.4
1797,9.5,5.5,9.7
1811,1.2,0.3,0.6
1812,2.9,2.8,3.2
1813,2.2,1.7,2.1
1814,2.1,1.3,1.6
1815,2.1,0.9,0.9
1816,1.9,1.9,1.9
1817,1.5,1.5,1.5
1821,1.2,1.0,1.6
1822,2.7,3.3,1.4
1823,1.0,1.3,1.7
1824,1.6,1.8,1.5
1825,3.3,3.3,2.5
1826,3.3,3.8,2.2
1827,4.9,4.7,2.6
1829,1.7,2.3,2.7
1831,4.7,4.9,3.7
1832,3.1,5.3,5.2
1834,3.8,3.2,1.1
1841,6.1,4.3,6.5
1842,5.3,6.2,4.9
1843,11.3,3.6,11.7
1844,10.2,6.5,10.6
1846,8.3,7.4,8.9
1847,6.1,5.9,6.6
1851,3.8,4.9,1.6
1852,4.6,5.4,1.8
1853,4.8,5.8,2.2
1861,3.6,1.1,5.6
1862,3.3,1.6,5.3
1865,8.7,4.9,10.8
1871,6.9,5.5,10.2
1873,9.4,7.7,12.8
1901,7.0,8.6,7.1
1902,6.5,9.3,7.5
1906,5.4,8.0,4.6
1911,2.3,7.2,3.9
1921,3.5,9.4,7.6
1931,8.7,0.5,6.8
1934,6.5,2.7,5.4
1935,7.9,4.6,5.2
1941,5.4,1.2,0.6
1942,5.0,0.6,1.0
1943,5.5,0.6,1.1
1944,6.2,1.3,1.0
1945,6.8,2.3,1.5
1946,6.9,2.8,1.7
1947,5.9,1.7,0.7
1948,7.5,3.8,2.4
1949,8.4,3.7,4.9
1951,3.5,1.7,2.8
1961,6.1,4.1,1.5
1962,5.7,4.6,1.6
1963,5.8,5.6,2.6
1964,6.7,3.8,1.9
1965,6.5,3.2,1.6
1966,6.5,3.4,1.2
1967,6.6,4.5,1.5
1968,8.0,5.3,3.5
1969,8.3,3.9,3.3
1971,0.7,1.6,0.9
1972,1.1,1.1,1.8
1973,1.7,0.5,2.6
1974,2.6,1.3,3.6
1975,2.4,1.0,3.2
1976,3.5,1.7,4.4
1981,2.9,2.3,2.5
1985,1.6,0.6,1.9
1991,2.6,3.3,4.6
1992,3.5,4.0,5.4
2011,5.3,0.4,0.5
2012,4.2,1.1,1.2
2013,5.4,1.0,0.5
2014,4.8,1.8,1.3
2015,6.0,2.1,1.6
2019,5.3,0.5,0.3
2021,5.4,0.6,1.6
2022,4.2,1.7,2.7
